kata
SURABAYA
MALANG
JAKARTA
BANDUNG
JOGJA
SOLO
MAKASSAR
MEDAN
SEMARANG
TULUNGAGUNG
MAKAN
MINUM
TIDUR
DUDUK
BERMAIN-MAIN
KERJA
AJAR
NYANYI
MASAK
CUCI
BERLARI
BERJALAN
BERENANG
BACA
TULIS
SETIR
DENGAR
TATAP
MANDI
LIHAT
